Id;Tipo de Facturación;Creado;Actualizado
1;MENSUAL;2024-10-18 17:53:03;2024-10-21 04:33:13
3;SEMANAL;2024-10-21 18:29:29;2024-10-21 04:32:26
4;ANUAL;2024-11-08 15:56:29;2024-11-08 15:56:29
5;ANUAL 2;2024-11-08 16:18:12;2024-11-08 16:18:12
6;ANUAL 2;2024-11-08 16:18:13;2024-11-08 16:18:13
7;ANUAL 2;2024-11-08 16:18:13;2024-11-08 16:18:13
8;a;2024-11-08 16:18:56;2024-11-08 16:18:56
9;a;2024-11-08 16:20:50;2024-11-08 16:20:50
10;aaa;2024-11-08 16:21:24;2024-11-08 16:21:24
11;aaa;2024-11-08 16:22:46;2024-11-08 16:22:46
12;PRUEBA;2024-11-08 16:28:13;2024-11-08 16:28:13
13;vbb1;2024-11-08 16:35:27;2024-11-08 04:07:26
14;prueba2;;
